RANKING,NOM_MUN,DIM_VS,DIM_EF,IVS,NIVEL_IVS
1,Calakmul,0.7159659306312525,0.41147667866198057,0.5942,Muy Bajo
2,Campeche,0.25316855017207973,1.0,0.5519,Muy Bajo
3,Hecelchak횄징n,0.5444458735114439,0.5403202186102428,0.5428,Muy Bajo
4,Calkin횄짯,0.5139428394005123,0.5736598696045534,0.5378,Bajo
5,Tenabo,0.5682258759696054,0.44957343985178794,0.5208,Bajo
6,Hopelch횄짤n,0.5324076073085952,0.47800482866987315,0.5106,Medio
7,Champot횄쨀n,0.49468436977110625,0.5335520297786734,0.5102,Medio
8,Carmen,0.2897000466657409,0.8090576956073603,0.4974,Alto
9,Seybaplaya,0.4260431502073576,0.49227187911422154,0.4525,Alto
10,Esc횄징rcega,0.4063089471640359,0.4803514528166361,0.4359,Muy Alto
11,Candelaria,0.6661575350124028,0.06697758186927545,0.4265,Muy Alto
12,Palizada,0.4328359579936761,0.3384694035209798,0.3951,Muy Alto
